repo_name,no_of_contributions
mozreviewers,10
mozspeechcollect,26
mozspeechcollect-srv,21
moztelemetry,54
moztrap,3015
moztrap-connect,4
moztrap-reqs,43
moztrap-tests,326
moztrap-vendor-lib,41
mozwebqa-bot,64
mozwebqa-examples,16
mozwebqa-test-templates,42
mp4parse-rust,799
mp4parse_fallible,13
mrburns,612
multi-account-containers,890
multipreffer,34
murmur,21
mw-skins,3
mwc,2219
mwos-frauddetection-2015,5
mwos-letsencrypt-2015,4
mysql-patcher,58
naf-janus-adapter,356
nagios-checks,7
napkin,22
narcissus,74
nascent-ledbar,4
nav-global,9
navras,9
neo,84
neqo,1052
nestegg,248
net-speech-api,37
netops-slackbot,3
network-api,201
network-crm,2
network-pulse,956
network-pulse-api,321
newfirefox.mozilla.community,73
newnewtab,77
news-matrix,29
newtab,36
newtab-dev,140421
newtab-webextensions,14
nicar-2015-2fa-plus,7
nightlytt,199
nimble.webmaker.org,33
nixpkgs-mozilla,195
nmap-agent,37
nocturnal,114
node-basket,16
node-cef,37
node-client-sessions,173
node-convict,576
node-db-migrate,43
node-firefox,48
node-firefox-build-tools,15
node-firefox-cli,13
node-firefox-connect,41
node-firefox-console,5
node-firefox-examples-gulp,6
node-firefox-examples-install-packaged,3
node-firefox-find-app,31
node-firefox-find-devices,10
node-firefox-find-ports,104
node-firefox-find-simulators,51
node-firefox-find-wifi-devices,1
node-firefox-forward-ports,4
node-firefox-install-app,68
node-firefox-launch-app,11
node-firefox-marketplace,26
node-firefox-reload-css,15
node-firefox-start-simulator,120
node-firefox-uninstall-app,6
node-fx-runner,76
node-hkdf,11
node-hubble,46
node-janus,224
node-kvstore,22
node-openid,149
node-rtltr,9
node-srp,93
node-vtt,59
node-webmaker-butler,17
node-webmaker-i18n,154
node-webmaker-loginapi,46
node-webmaker-postalservice,59
normandy,4316
normandy-actions,17
normandy-addon,160
normandy-compose,15
notes,1532
npapi-sdk,7
npm-lockdown,88
nsf-challenge,193
nsm-build,9
nsm-scripts,2
nss-fuzzing-corpus,32
nss-taskcluster,28
nss-tools,112
nucleus,190
nuggets,17
nunjucks,1247
nunjucks-docs,82
oauthorizer,47
observatory-cli,34
offline-kws-stt-intent-parsing-android,4
offyx,8
oghliner,442
oi-campaign-landing-page-template,10
old-timer-extension,2
oldpto,112
olm-whitepaper,8
onboard,111
one-off-system-add-ons,139
oneanddone,629
oneanddone-tests,61
onecrl-entry-checker,24
onyx,192
open-innovation-curriculum,18
open-leadership-framework,213
open-leadership-training-series,185
openbadger,856
openbadger-client,10
openbadges-backpack,2270
openbadges-badgekit,722
openbadges-badges,84
openbadges-bakery,82
openbadges-bakery-service,22
openbadges-cem,122
openbadges-discovery,420
openbadges-specification,11
openbadges-validator,203
openbadges-validator-service,82
openbadges-verifier,4
openbadges.org,211
openbadges.org-static,29
openhab,6448
openhab-core,103
openhab-distro,205
openhab2-addons,1153
openiotstudio,1
opennews-if-this-then-news,33
opennews-wiki,1
opensearch,87
opensourcery,9
openvpn,1300
openwebapps,1242
openwebapps-flickr-connector,11
openwebapps-myphotos,12
openwebapps-photosite-connector,27
openwpm-crawler,121
openwpm-firefox-webext,28
openwpm-utils,23
openwpm-webext-instrumentation,131
opsec-puppet,179
osmdroid,92
osumo,112
ouija,487
outofdate-notifications-system-addon,93
outreachy-datascience,1
overscripted,58
overscripted-explorer,19
pad,242
page-metadata-parser,120
page-metadata-service,124
parapara,1280
park-warden,14
parquet2bigquery,125
parquet2hive,111
parsepatch,29
parsys,5
parsys-okr-dashboard,14
part-MakerParty,4
participation-heartbeat,73
participation-leaders-accountability,3
participation-metrics-org,7
partinfra-jenkins,63
partinfra-playbooks,335
partinfra-terraform,411
partinfra-terraform-cloudfrontssl,14
partinfra-wordpress,9
partner-distro-portal,25
passport-openid,45
passport-webmaker,27
passport-yahoo,11
patches,61
patches-server,139
payments,44
payments-client,204
payments-config,15
payments-env,58
payments-example,50
payments-l10n,82
payments-logo,4
payments-saucelabs-browsers,6
payments-service,137
payments-ui,834
pd-cli,23
pdf.js,12728
pdf.js-bot,150
pdf.js-sample-files,3
pdfjs-dist,1789
peekaboo,298
people,60
peptest,1
perf-automation,23
persona,3782
persona-gmail-bridge,275
persona-roadmap,1
persona-yahoo-bridge,344
persona.org,59
personas,927
personas-plus,161
personatestuser.org,146
petitions.mozilla.org,77
phonebook,183
phonedash,48
picl-contacts,17
picl-desktop-client,97
picl-keyserver,40
picl-mocks,60
picl-oldsync,18
picl-passwords,9
picl-server,172
picl-tabs,13
pilot,711
ping-centre,52
ping-centre-launch-day,6
pino-mozlog,63
pioneer-enrollment-study,6
pioneer-online-news-log-recovery,12
pioneer-online-news-survey-fix,16
pioneer-opt-in,4
pioneer-study-nothing-addon,31
pioneer-study-online-news,114
pioneer-study-online-news-2,36
pioneer-study-pathfinder,29
pioneer-utils,86
pipstrap,50
pjs,57513
pkipolicy,96
pkix-compatibility-testing,18
placedkitten,33
planet-content,25
planet-source,2
platform-analysis,21
platform-status,889
playdoh,148
playdoh-docs,90
playdoh-lib,126
plugin-crash-dashboard,12
plugincheck,47
plugindir,109
plugins,167
pluotsorbet,4943
pocketsphinx,61
pocketsphinx-gtk,35
pointer.js,5
policy-templates,799
pontoon,4942
pontoon-error-pages,8
pontoon-intro,1467
pontoon-to-json,15
popcoder,48
popcorn-docs,288
popcorn-editor,158
popcorn-interim,49
popcorn-js,2263
popcorn.webmaker.org,1413
popcorn_maker,264
popcornjs.org,7
positron,155199
positron-electron,7248
positron-spidernode,13437
potools,95
preproduction,4
pretty-fast,53
price-tracker,314
prio-processor,408
privacy-prefs,6
privacy-survey,6
privacybadges,16
probe-dictionary,183
probe-scraper,460
process-releases,52
product-delivery,15
product-details-json,986
product_identifier,31
progressive-apps-hq,55
